ID;LABEL;ARTICLE
11;human;Jak informuje serwis OK Diario, Robert Lewandowski może opuścić El Clasico. Ma to związek z żółtą kartką, którą Polak otrzymał w meczu z Las Palmas. Robert Lewandowski otrzymał żółtą kartkę w meczu z Las Palmas podczas schodzenia z boiska. Polak dość opieszale opuszczał murawę i za to został ukarany przez sędziego. Media sugerują, że napastnik Barcelony mógł to zrobić celowo, aby nie ryzykować absencją w El Clasico. Dla Lewandowskiego była to piąta żółta kartka w sezonie 2023/2024, co oznacza dla niego jeden mecz pauzy. Polak na pewno nie zagra z Cadiz i teoretycznie na mecz z Realem Madryt (21 kwietnia) będzie miał pełny limit kartoników do wykorzystania. Jednak serwis OK Diario wróży czarny scenariusz. Według źródła komisja dyscyplinarna ligi może przyjrzeć się całej sytuacji. Jeśli uzna, że Lewandowski specjalnie wymusił kartkę, to może otrzymać dodatkowe zawieszenie na mecz z Królewskimi.
12;human;Real Madryt jest gotowy sprzedać Daniego Ceballosa. Jak informuje Defensa Central, do negocjacji chce przystąpić Atletico. Dani Ceballos w sezonie 2023/2024 stracił w oczach Carlo Ancelottiego. Hiszpański pomocnik w większości meczów przesiaduje na ławce rezerwowych i z pewnością jest to dla niego rozczarowująca sytuacja. Tym bardziej że piłkarz niedawno przedłużył kontrakt z Królewskimi do 2027 roku. Łącznie w sezonie 2023/2024 Dani Ceballos rozegrał 21 meczów, ale na boisku przebywał tylko przez 503 minuty. W związku z tym Hiszpan zaczął rozważać zmianę klubu. Jak informuje Defensa Central, poważnie zainteresowane pomocnikiem jest Atletico Madryt. Według przekazanych wieści Los Colchoneros są gotowi do negocjacji. Real Madryt oczekuje kwoty w granicach 18-20 milionów euro. W ostatnich latach najgłośniejszym przypadkiem piłkarza, który zasilił Atleti i niegdyś grał w barwach Królewskich, jest bez wątpienia Alvaro Morata.
13;human;Według hiszpańskiego dziennika MARCA Dani Ceballos nie jest zadowolony z liczby minut, które otrzymuje od Carlo Ancelottiego. Pomocnik rozważa opuszczenie zespołu Królewskich. Gdy Dani Ceballos w czerwcu przedłużał umowę z Realem Madryt do 2027 roku, to miał nadzieję, że z biegiem czasu będzie odgrywał ważniejszą rolę w zespole prowadzonym przez Carlo Ancelottiego. Nic bardziej mylnego – pomocnik póki co nie zyskał zaufania Włocha. 27-latek w obecnym sezonie co prawda rozegrał 21 meczów, ale na boisku spędził łącznie zaledwie 505 minut. To przełożyło się na jednego gola i jedną asystę. Jak informuje hiszpańska gazeta “MARCA”, Dani Ceballos jest coraz bardziej sfrustrowany swoją sytuacją. Trzynastokrotny reprezentant Hiszpanii chciałby grać więcej i dlatego rozważa odejście z ekipy Królewskich w letnim okienku. Środkowy pomocnik w przeszłości był łączony z Realem Betis, Atletico Madryt, a także klubami Premier League.
14;human;FC Barcelona planuje przekonać Xaviego Hernandeza do tego, aby został w klubie po sezonie. Szczegółowe wieści na ten temat przekazało Mundo Deportivo. FC Barcelona wciąż ma nadzieję, że latem z klubem nie pożegna się Xavi Hernandez. Mundo Deportivo przekonuje, że prezydent Joan Laporta, wiceprezydent Rafa Yuste i dyrektor sportowy Deco pracują nad tym, aby Hiszpan został w klubie. Źródło twierdzi, że Laporta wierzy w zmianę stanowiska przez trenera, jeśli Barca wygra mistrzostwo Hiszpanii czy Ligę Mistrzów lub będzie walczyć do końca o zwycięstwo w tych rozgrywkach. Prezydent Barcelony jest gotowy poczekać na ostateczną decyzję trenera, ponieważ wierzy, że Xavi może wiele wyciągnąć z obecnego składu. Jest to szczególnie prawdziwe w przypadku młodych zawodników, którzy dostali szansę pod wodzą młodego szkoleniowca. W tym gronie są tacy gracze jak: Lamine Yamal, Fermin Lopez, Pau Cubarsi, Hector Fort czy Marco Casado. Laporta, Yuste i Deco doceniają to, że Xavi dostosował się do sytuacji klubu, co zmusiło go do odrzucenia pożądanych transferów. Trener nigdy nie narzekał, że Barca nie może spełnić jego życzeń. Mając te czynniki na uwadze, Laporta chce, aby Xavi wypracował swój kontrakt, który obowiązuje do 2025 roku i ma opcję przedłużenia o kolejne 12 miesięcy. Barcelona planuje latem dokonać kilku transferów, aby wzmocnić zespół. W przyszłym roku działacze Katalończyków mają między innymi plan, aby sfinalizować transfer z udziałem Erlinga Haalanda.
15;human;Marcos Alonso odejdzie po zakończeniu sezonu z FC Barcelony. Kontrakt Hiszpana nie zostanie przedłużony - poinformował Fabrizio Romano. FC Barcelona latem pożegna kilku zawodników. Wśród nich znajduje się Marcos Alonso, któremu jak przekazał Fabrizio Romano nie zostanie przedłużony kontrakt. Włoski dziennikarz poinformował również o możliwym rozstaniu z Sergi Roberto, lecz jego odejście uzależnione jest od ostatecznej decyzji Xaviego. Marcos Alonso do Barcelony trafił w 2022 roku na zasadzie wolnego transferu z Chelsea. Hiszpan w swoim CV ma również występy dla takich drużyn jak Fiorentina czy Sunderland. Co ciekawe pierwsze kroki w futbolu stawiał w szkółkach odwiecznego rywala Blaugrany – Realu Madryt. Łącznie 33-letni lewy obrońca wystąpił w barwach katalońskiego klubu w 44 meczach i zapisał na swoim koncie trzy bramki. W bieżących rozgrywkach pełni rolę głębokiego rezerwowego, a na boisku spędził zaledwie 299 minut.
16;human;Jude Bellingham notuje fantastyczny sezon w barwach Realu Madryt. Po ostatnim meczu ligowym zapisał się na kartach historii bieżącej kampanii. Jak donosi The Sun, Anglik jako pierwszy piłkarz ligi hiszpańskiej osiągnął w bieżącym sezonie double-double. Jude Bellingham trafił do Realu Madryt latem ubiegłego roku za 103 miliony euro. Od początku pobytu w stolicy Hiszpanii środkowy pomocnik zachwyca swoją grą i bije rekord za rekordem. Anglik na swoim koncie ma pobite m.in. trzy rekordy należące wcześniej do Cristiano Ronaldo, a w ostatnim meczu z Athletikiem Bilbao zapisał kolejny kamień milowy w swojej karierze. Jak poinformował dziennik The Sun, 20-letni pomocnik jako pierwszy piłkarz z La Liga w tym sezonie osiągnął dwucyfrową liczbę bramek oraz asyst we wszystkich rozgrywkach. Bellingham podczas ostatniego spotkania asystował przy drugiej bramce Rodrygo. Łącznie statystyki pomocnika w bieżącej kampanii to 20 goli i 10 asyst w 32 meczach. Real Madryt w meczu 30. kolejki La Liga wygrał na własnym stadionie 2:0 z Athletic Bilbao. Królewscy zajmują 1. miejsce w lidze z dorobkiem 75 punktów. Nad drugą FC Barceloną mają 8 oczek przewagi.
17;human;Endrick wzmocni latem szeregi Realu Madryt. Królewscy mają konkretny plan na Brazylijczyka, który zakłada włączenie go do pierwszej drużyny. Real Madryt latem bardzo poważnie wzmocni ofensywę. Oczywiście głównym transferem jest Kylian Mbappe, który nie został jeszcze sfinalizowany, lecz media są zgodne, iż zagra on w przyszłym sezonie dla Królewskich. Do drużyny dołączy także Endrick, za którego Real zapłacił już jakiś czas temu, lecz przepisy pozwalają nastolatkowi opuścić Brazylię dopiero po ukończeniu 18. roku życia. Tak poważna konkurencja może zahamować rozwój Endricka, który uchodzi za olbrzymi talent. W Madrycie jednak o to się nie obawiają, gdyż nie ma planów wypożyczenia młodziutkiego Brazylijczyka. Od samego początku będzie on włączony do pierwszej drużyny, z którą rozpocznie treningi. Nie ma również mowy o grze w rezerwach – Endrick będzie przygotowywany do gry u boku takich piłkarzy, jak Jude Bellingham, Vinicius Junior czy właśnie Mbappe. Przez jakiś czas pojawiały się sugestie, że Palmeiras spróbuje przedłużyć pobyt Endricka przynajmniej do końca roku, lecz Real takiej opcji nawet nie rozważy. Endrick to dla Realu Madryt kolejny transfer z Brazylii. W ostatnich latach upodobał sobie ten kierunek, gdyż nie tak dawno na Santiago Bernabeu z Ameryki Południowej trafili Vinicius Junior i Rodrygo.
18;human;Mateu Lahoz to były kontrowersyjny sędzia, a dziś wzięty ekspert telewizyjny. Hiszpan w jednoznaczny sposób zabrał głos na temat niedawnej kontrowersji w meczu FC Barcelony z UD Las Palmas, która kosztowała Blaugranę gola. FC Barcelona zdołała w minioną sobotę pokonać UD Las Palmas po trafieniu Raphinhi z drugiej połowy. Mistrzowie Hiszpanii mogli jednak już wcześniej “ustawić” sobie spotkanie. W 19. minucie Fermin Lopez posłał podanie do Roberta Lewandowskiego. W tamtym momencie na pozycji spalonej był Raphinha, ale nie wziął udziału w tym elemencie akcji. Dopiero później futbolówka trafiła do Brazylijczyka, a ten trafił do siatki. Sędziowie długo się zastanawiali, ale ostatecznie zdecydowali się anulować bramkę z powodu spalonego byłego piłkarza Leeds United. Wątpliwości w kwestii tej akcji nie ma Mateu Lahoz. – To żenada. Zobaczmy akcję krok po kroku. Raphinha jest tylko na pozycji spalonej. Nie ma wpływu na przebieg akcji, a co za tym idzie, nie powinien zostać poddany karze. Kiedy już został zaangażowany w akcję, pozycja nie jest aktualna. Ma przed sobą piłkę i dwóch obrońców. Nie można go ukarać. To oczywiście żenujące – powiedział były kontrowersyjny arbiter, a obecnie ekspert telewizyjny. Blaugrana traci osiem punktów do Realu Madryt w tabeli La Ligi. Obecnie, jednak, zespół przygotowuje się już do pierwszego starcia z Paris Saint-Germain w ćwierćfinale Ligi Mistrzów.
19;human;Marcos Alonso najchętniej zapomniałby o bieżącym sezonie. Do tego wszystko wskazuje na to, że jego przygoda z FC Barceloną zakończy się po zaledwie dwóch latach. Według hiszpańskich mediów, defensor doszedł do porozumienia z inną wielką siłą La Ligi. Marcos Alonso z pewnością liczył na nieco inny przebieg etapu swojej kariery w FC Barcelonie. Defensor trafił do stolicy Katalonii latem 2022 roku jako wolny agent. W swoim pierwszym sezonie nie zdołał zakotwiczyć w pierwszym składzie, ale był ważnym elementem rotacji i miał swój wkład w wygranie tytułu mistrzowskiego. Druga kampania jest już jednak w jego przypadku zupełnie nieudana. Przegrał rywalizację ze środkowymi obrońcami i miał stanowić opcję zastępczą dla Alejandro Balde. Xavi Hernandez nie tylko nie okazał jednak 33-latkowi zaufania, ale w listopadzie sam piłkarz doznał poważnej kontuzji pleców. Ta wyłączyła go z gry na trzy miesiące. Przez ten czas w składzie Blaugrany wydarzyło się tak wiele, że obrońca od jesieni w ogóle nie pojawił się na boisku. Ostatnio Fabrizio Romano rozwiał wszelkie wątpliwości. Włoch potwierdził, że Barcelona nie zamierza przedłużać wygasającego 30 czerwca kontraktu. Nie oznacza to jednak bynajmniej, że Alonso nie znajdzie już pracodawcy na odpowiednim wysokim poziomie. Dziennikarze Cadena SER przekonują bowiem, że 33-latek doszedł już do porozumienia z Atletico Madryt, które również lubuje się w podpisywaniu umów z wolnymi agentami. Nie zawarto jeszcze pełnego porozumienia, ale wszystko znajduje się na dobrej drodze. Alonso rozegrał w tym sezonie ledwie 300 minut w siedmiu meczach na wszystkich frontach.
20;human;Ilkay Gundogan po zaledwie roku może opuścić FC Barcelonę. Jak informuje turecki portal Fanatik środkowy pomocnik trafił na radar Galatasaray. Ilkay Gundogan przed rozpoczęciem sezonu na zasadzie wolnego transferu dołączył do FC Barcelony. Niemiec po siedmiu latach spędzonych w Manchesterze City zdecydował się na nowe wyzwanie i grę w obcej mu lidze. Jak się szybko okazało decyzja o transferze do Dumy Katalonii była się strzałem w dziesiątkę. Środkowy pomocnik z miejsca stał się kluczowym piłkarzem w drugiej linii Blaugrany. Xavi regularnie korzysta z usług 33-latka i ciężko wyobrazić sobie środek pola bez Gundogana. Jednak przygoda Niemca ze stolicą Katalonii może bardzo szybko się skończyć. Portal Fanatik poinformował, że reprezentant Niemiec jest głównym celem transferowym Galatasaray. Turecki klub jest zdesperowany, aby Gundogan został piłkarzem ich zespołu i zrobią wszystko, co w ich mocy, aby spełnić swój cel. Urodzony w Gelsenkirchen piłkarz w tym sezonie zagrał w 43 meczach, w których strzelił 5 goli i zaliczył 10 asyst. Kontrakt z Barceloną ma ważny do czerwca 2025 roku. Gundogan wyceniany jest na ten moment na 16 milionów euro.
21;human;"Zagraniczne media informują, że Marcin Bułka znalazł się na celowniku Realu Madryt. Bramkarz OGC Nice miałby wskoczyć w miejsce Thibaut Courtois, który w połowie marca ponownie doznał kontuzji kolana, tym razem prawego. Doświadczony golkiper już nie pojawi się w tym sezonie w bramce Królewskich. Marcin Bułka w ostatnich miesiącach zrobił gigantyczny postęp. Przez kilka lat w swojej karierze nie potrafił przebić bariery choćby 10 meczów, ale obecny sezon jest przełomowy. 24-latek gra regularnie we francuskiej Nicei. I to jak gra! Polak jest jednym z najlepszych bramkarzy we Francji. W 27 meczach Bułka zanotował aż 14 czystych kont. Nicea w całym sezonie straciła tylko 22 gole, pod tym względem nie ma lepszego zespołu we francuskiej ekstraklasie. Drużyna Polaka zajmuje obecnie 5. miejsce, a on sam jest wychwalany przez francuską prasę i kochany przez kibiców zespołu – ostatnio został, już po raz trzeci, wybrany na zawodnika miesiąca w swoim klubie. Tak świetna dyspozycja w sezonie nie mogła umknąć uwadze największym, europejskim klubom. Najpierw serwis fichajes.net, następnie Sport.fr poinformowały, że Real Madryt rozważa możliwość transferu Polaka na przyszły sezon. Hiszpanie mają problem z obsadzeniem bramki, ponieważ Thibaut Courtois doznał kolejnej kontuzji, tym razem prawego kolana. Problem okazał się na tyle poważny, że Francuza nie zobaczymy już w tym sezonie na boisku. W związku z zaistniałą sytuacją świetnie radzący sobie we Francji Bułka miał się znaleźć w kręgu zainteresowań Królewskich. Hiszpanie będą musieli jednak powalczyć o Polaka, ponieważ w marcu z konkretną ofertą wyszedł Manchester United. – Właśnie wpłynęła pierwsza oficjalna oferta do Nicei za Marcina Bułkę. Na stole leży ponoć 40 mln euro od Manchesteru United – mówił wówczas na ""Kanale Sportowym"" Mateusz Borek."
22;human;"Rok przerwy od pracy, pozostanie w Barcelonie, a może skorzystanie z oferty wielkiego klubu? Hiszpanie zastanawiają się nad przyszłością Xaviego, ale tu wciąż nic nie jest pewne. Ba, opcji dla 44-latka jest coraz więcej, bowiem o zakontraktowaniu go poważnie ma myśleć Ajax Amsterdam. Xavi ogłosił odejście z Barcelony po zakończeniu sezonu, a od tego czasu... jego zespół ani razu nie przegrał! Właśnie dlatego w Hiszpanii coraz częściej mówi się o pozostaniu w klubie 44-latka. Takiego rozwiązania chcieliby Joan Laporta i Robert Lewandowski. Na ten moment wiele wskazuje jednak na to, że takim rozwiązaniem nie jest zainteresowany sam Xavi. Co więcej, wygląda na to, że ten nie będzie narzekał na brak ofert. Dziennikarze hiszpańskiego ""SPORT-u"" informują bowiem, że Xavi jest jednym z kandydatów do objęcia Ajaxu po zakończeniu sezonu. W Amsterdamie mają poszukiwać trenera o podobnych parametrach, który ma doświadczenie jako były wyśmienity piłkarz, ale i stawia na młodych zawodnikach. A to nie wszystko, bowiem w holenderskim klubie mają cenić także taktykę preferowaną przez Xaviego. Obecnie trenerem Ajaxu jest John van 't Ship, ale pewne jest, że na stanowisku pozostanie tylko do końca sezonu. Później będzie pracował jako dyrektor techniczny klubu. I wciąż nie wiadomo, kto go zastąpi. Po 27 kolejkach Eredivisie Ajax zajmuje dopiero piąte miejsce w tabeli ze stratą aż 28 punktów do liderującego PSV. W Amsterdamie liczą na nowe otwarcie w kolejnym sezonie, a jednym z trenerów, któremu mogłoby zostać powierzone to zadanie, miałby być właśnie Xavi. Jakie są na to szanse? ""SPORT"" informuje, że Hiszpan chciałby w kolejnym roku odpocząć. Co więcej, władze Barcelony wciąż liczą, że przekonają go do zmiany zdania."
